Name,Team,G,Rec,Tgt,RecYds,Y/G,Avg,Lng,YAC,1stD,RecTD,KR,Yds,Avg,Long,KRTD,PR,Yds,Avg,Long,PRTD,Fum,FumL
Justin Hunter,TEN,14,18,42,354,25.3,19.7,57,5.4,16,4,0,0,0,0,0,0,0,0,0,0,0,0
Jermaine Kearse,SEA,15,22,38,346,23.1,15.7,43,2.5,16,4,13,283,21.8,40,0,0,0,0,0,0,0,0
Stephen Hill,NYJ,12,24,58,342,28.5,14.3,51,4.1,15,1,0,0,0,0,0,0,0,0,0,0,1,1
Jerrel Jernigan,NYG,15,29,44,329,21.9,11.3,30,4.6,16,2,11,246,22.4,46,0,0,0,0,0,0,0,0
Brandon Gibson,MIA,7,30,43,326,46.6,10.9,46,4.5,19,3,0,0,0,0,0,0,0,0,0,0,0,0
Robert Meachem,NOR,15,16,30,324,21.6,20.3,60,5.1,9,2,0,0,0,0,0,0,0,0,0,0,0,0
Darrius Heyward-Bey,IND,16,29,64,309,19.3,10.7,27,4.8,16,1,0,0,0,0,0,0,0,0,0,0,0,0
Tandon Doss,BAL,15,19,36,305,20.3,16.1,63,4.9,13,0,0,0,0,0,0,23,359,15.6,82,1,0,0
Brian Quick,STL,16,18,34,302,18.9,16.8,73,5.9,15,2,0,0,0,0,0,0,0,0,0,0,0,0
Michael Crabtree,SFO,5,19,33,284,56.8,14.9,60,7.5,13,1,0,0,0,0,0,0,0,0,0,0,0,0
Marquise Goodwin,BUF,12,17,32,283,23.6,16.6,59,2.9,13,3,16,351,21.9,28,0,0,0,0,0,0,1,1
Kevin Ogletree,TAM,12,21,46,269,16.8,12.8,43,4.5,15,2,1,25,25,25,0,0,0,0,0,0,0,0
Griff Whalen,IND,9,24,40,259,28.8,10.8,25,5.6,14,2,1,22,22,22,0,8,104,13,51,0,0,0
Keshawn Martin,HOU,16,22,40,253,15.8,11.5,32,4.4,12,2,36,947,26.3,50,0,39,345,8.8,87,1,0,0
Miles Austin,DAL,11,24,49,244,22.2,10.2,20,4.8,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Earl Bennett,CHI,15,32,43,243,16.2,7.6,17,2.3,13,4,0,0,0,0,0,0,0,0,0,0,0,0
Sidney Rice,SEA,8,15,35,231,28.9,15.4,31,1.3,11,3,0,0,0,0,0,0,0,0,0,0,1,1
Kerry Taylor,JAC,7,22,34,229,22.9,10.4,17,3.6,12,1,2,60,30,43,0,0,0,0,0,0,0,0
Stedman Bailey,STL,16,17,25,226,14.1,13.3,28,2.6,10,0,1,26,26,26,0,0,0,0,0,0,0,0
Drew Davis,ATL,16,12,17,216,13.5,18,59,9.6,9,2,0,0,0,0,0,0,0,0,0,0,0,0
Mike Williams,TAM,6,22,40,216,36,9.8,28,2.9,12,2,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Morgan,WAS,14,20,33,214,15.3,10.7,21,4.5,13,0,12,239,19.9,25,0,8,59,7.4,34,0,0,0
Darius Johnson,ATL,10,22,43,210,21,9.5,17,4.1,12,1,0,0,0,0,0,0,0,0,0,0,1,1
Andre Caldwell,DEN,16,16,29,200,12.5,12.5,36,2.6,11,3,6,141,23.5,34,0,0,0,0,0,0,0,0
Andrew Hawkins,CIN,8,12,18,199,24.9,16.6,50,11.3,7,0,0,0,0,0,0,0,0,0,0,0,1,0
Da'Rick Rogers,IND,5,14,23,192,38.4,13.7,69,8.4,9,2,0,0,0,0,0,0,0,0,0,0,0,0
Damian Williams,TEN,10,15,23,178,17.8,11.9,32,3.1,10,0,5,123,24.6,37,0,4,12,3,8,0,0,0
LaVon Brazill,IND,10,12,27,161,16.1,13.4,29,4.7,7,2,3,57,19,21,0,3,25,8.3,17,0,1,0
DeVier Posey,HOU,14,15,25,155,11.1,10.3,42,5.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcom Floyd,SDG,2,6,11,149,74.5,24.8,47,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Salas,NYJ,8,8,13,143,17.9,17.9,44,9.9,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaron Brown,ARI,16,11,18,140,8.8,12.7,32,3.4,6,1,0,0,0,0,0,0,0,0,0,0,0,0
Brittan Golden,ARI,5,4,10,136,27.2,34,63,19.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Jenkins,KAN,16,8,17,130,8.1,16.3,48,5.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Hemingway,KAN,16,13,19,125,7.8,9.6,24,2.4,6,2,0,0,0,0,0,0,0,0,0,0,2,1
