Name,Team,G,Rush ,Yds ,Y/G ,Avg ,TD ,Rec ,Tgt ,Yds ,Y/G ,Avg ,Lng ,YAC ,1stD ,TD ,Fum ,FumL 
Frank Summers,BUF,15,12,46,3.1,3.8,1,7,8,79,5.3,11.3,34,9.9,5,1,0,0
Jed Collins,NOR,16,15,45,2.8,3,1,14,18,54,3.4,3.9,8,5.6,3,0,0,0
Michael Cox,NYG,14,22,43,3.1,2,0,3,3,12,0.9,4,11,6,1,0,0,0
Darrel Young,WAS,13,12,41,3.2,3.4,3,4,9,71,5.5,17.8,62,10.3,1,1,0,0
C.J. Anderson,DEN,5,7,38,7.6,5.4,0,0,1,0,0,N/A ,0,N/A ,0,0,0,0
John Kuhn,GNB,15,10,38,2.5,3.8,1,13,19,81,5.4,6.2,20,6.7,2,0,0,0
Alex Green,NYJ,13,11,35,2.7,3.2,0,2,2,8,0.6,4,7,9,0,0,0,0
Daniel Herron,IND,6,5,33,5.5,6.6,0,1,1,57,9.5,57,57,60,1,0,0,0
Le'Ron McClain,SDG,16,11,32,2,2.9,0,2,3,-7,-0.4,-3.5,7,3.5,0,0,0,0
Justin Forsett,JAC,9,6,31,3.4,5.2,0,15,16,82,9.1,5.5,14,7.3,5,0,1,0
Theo Riddick,DET,14,9,25,1.8,2.8,1,4,8,26,1.9,6.5,8,4.3,1,0,0,0
Cyrus Gray,KAN,16,9,24,1.5,2.7,0,7,10,46,2.9,6.6,18,7.4,2,0,0,0
Michael Hill,TAM,6,9,23,3.8,2.6,0,2,2,23,3.8,11.5,12,7.5,1,0,0,0
Vonta Leach,BAL,16,11,23,1.4,2.1,0,11,19,47,2.9,4.3,12,4.9,3,1,0,0
Isaiah Pead,STL,10,7,21,2.1,3,0,11,15,78,7.8,7.1,14,6.4,2,0,0,0
Mike Gillislee,MIA,3,6,21,7,3.5,0,0,0,0,0,N/A ,0,N/A ,0,0,0,0
LaRod Stephens-Howling,PIT,1,6,19,19,3.2,0,2,3,11,11,5.5,7,5.5,0,0,0,0
Marcus Thigpen,MIA,16,6,18,1.1,3,0,8,11,97,6.1,12.1,50,11,4,1,0,0
Cedric Peerman,CIN,16,8,17,1.1,2.1,0,0,0,0,0,N/A ,0,N/A ,0,0,0,0
Jeff Demps,TAM,2,1,14,7,14,0,3,3,21,10.5,7,10,9.3,1,0,0,0
Bernard Scott,BAL,2,4,14,7,3.5,0,2,2,10,5,5,8,4.5,0,0,0,0
Bruce Miller,SFO,14,7,13,0.9,1.9,0,25,36,243,17.4,9.7,43,7.6,12,0,1,0
Isaac Redman,PIT,3,10,12,4,1.2,0,4,5,14,4.7,3.5,7,2.8,1,0,1,0
Phillip Tanner,DAL,16,9,12,0.8,1.3,1,3,4,33,2.1,11,17,11.7,1,0,1,0
James Develin,NWE,16,4,10,0.6,2.5,1,4,4,62,3.9,15.5,31,8.5,3,0,0,0
Spencer Ware,SEA,2,3,10,5,3.3,0,0,0,0,0,N/A ,0,N/A ,0,0,0,0
Mikel Leshoure,DET,3,2,9,3,4.5,0,0,0,0,0,N/A ,0,N/A ,0,0,0,0
Cierre Wood,HOU,3,3,9,3,3,0,0,0,0,0,N/A ,0,N/A ,0,0,0,0
Ray Graham,HOU,1,4,8,8,2,0,1,3,12,12,12,12,8,1,0,0,0
Stanley Havili,IND,13,7,7,0.5,1,0,18,21,128,9.8,7.1,20,6.9,6,1,0,0
Kenjon Barner,CAR,8,6,7,0.9,1.2,0,2,3,7,0.9,3.5,5,7,0,0,0,0
Jamize Olawale,OAK,16,3,6,0.4,2,0,7,11,63,3.9,9,25,7.9,3,0,0,0
Armond Smith,CAR,5,4,5,1,1.3,0,0,0,0,0,N/A ,0,N/A ,0,0,0,0
Ronnie Wingo,BUF,2,1,4,2,4,0,1,1,2,1,2,2,6,0,0,0,0
Anthony Sherman,KAN,16,2,3,0.2,1.5,0,18,24,155,9.7,8.6,26,9.4,8,1,1,1
Derrick Coleman,SEA,12,2,3,0.3,1.5,0,8,8,62,5.2,7.8,12,6.4,4,1,1,0
Shaun Draughn,BAL,3,4,2,0.7,0.5,0,0,0,0,0,N/A ,0,N/A ,0,0,0,0
Jeremy Stewart,OAK,13,2,2,0.2,1,1,2,2,6,0.5,3,5,2.5,0,0,0,0
Greg Jones,HOU,16,2,2,0.1,1,0,5,11,34,2.1,6.8,19,1.8,1,0,0,0
Will Ta'ufo'ou,JAC,16,1,1,0.1,1,0,10,15,40,2.5,4,11,3.7,1,0,0,0
Leon Washington,NWE,2,1,1,0.5,1,0,0,1,0,0,N/A ,0,N/A ,0,0,0,0
Josh Vaughan,ATL,6,1,1,0.2,1,0,1,1,-5,-0.8,-5,-5,0,0,0,0,0
Zach Line,MIN,3,0,0,0,N/A ,0,1,3,8,2.7,8,8,5,0,0,0,0
Michael Robinson,SEA,9,1,0,0,0,0,2,3,27,3,13.5,21,5.5,1,0,0,0
Robert Hughes,IND,1,0,0,0,N/A ,0,1,2,6,6,6,6,7,0,0,0,0
Erik Lorig,TAM,15,0,0,0,N/A ,0,11,14,47,3.1,4.3,20,5.1,2,0,0,0
Tyler Clutts,DAL,4,0,0,0,N/A ,0,1,2,4,0.5,4,4,2,0,0,1,1
Evan Royster,WAS,10,2,0,0,0,0,1,1,3,0.3,3,3,8,0,0,0,0
John Conner,NYG,13,0,0,0,N/A ,0,6,11,31,2.4,5.2,12,5,2,0,0,0
Quinn Johnson,TEN,4,0,0,0,N/A ,0,0,1,0,0,N/A ,0,N/A ,0,0,0,0
Jerome Felton,MIN,13,0,0,0,N/A ,0,6,8,37,2.8,6.2,11,3.7,3,0,0,0
